,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
0,1210,大成,市,11/02,,53,-0.1,-0.19,3514,186,53.1,53.1,53.3,52.7,1.13,13.8,2.2,,,,
1,1227,佳格,市,11/02,,52,+0.5,+0.97,1214,63.2,51.5,51.5,52.2,51.5,1.36,15.7,2.81,,,,
2,1229,聯華,市,11/02,,59.1,+3.3,+5.91,6464,373,55.8,56,59.1,56,5.56,16.4,2.27,,,,
3,1434,福懋,市,11/02,,30.2,+0.25,+0.83,1607,48.3,29.95,30.05,30.25,29.95,1,32.1,0.78,,,,
4,1440,南紡,市,11/02,,22.65,-0.05,-0.22,12083,280,22.7,23.2,23.55,22.65,3.96,11.9,1.4,,,,
5,1476,儒鴻,市,11/02,,607,-3,-0.49,589,358,610,615,617,599,2.95,29.1,8.81,,,,
6,1477,聚陽,市,11/02,,231,-4,-1.7,1105,254,235,235,236.5,227.5,3.83,21.7,4.56,,,,
7,1504,東元,市,11/02,,30.55,+0.2,+0.66,3721,114,30.35,30.5,31.1,30.25,2.8,15.5,0.76,,,,
8,1605,華新,市,11/02,,26.6,0,0,14215,381,26.6,26.85,27.15,26.4,2.82,9.93,0.89,,,,
9,1717,長興,市,11/02,,36.35,-0.25,-0.68,5097,186,36.6,36.8,37.1,36.2,2.46,12.6,1.85,,,,
10,1722,台肥,市,11/02,,67.4,-1,-1.46,3149,213,68.4,68.4,68.6,67,2.34,27.7,1.25,,,,
11,1802,台玻,市,11/02,,27.4,-0.45,-1.62,9034,253,27.85,28.1,28.5,27.4,3.95,9.48,1.65,,,,
12,1904,正隆,市,11/02,,34.3,+0.1,+0.29,4222,146,34.2,34.3,34.8,34.25,1.61,8.6,1.37,,,,
13,1907,永豐餘,市,11/02,,32.55,+0.2,+0.62,7028,230,32.35,32.6,33.25,32.4,2.63,8.24,1.15,,,,
14,2006,東和鋼鐵,市,11/02,,39.9,-0.2,-0.5,2309,92.7,40.1,40,40.5,39.85,1.62,8.08,1.45,,,,
15,2014,中鴻,市,11/02,,35.15,-0.05,-0.14,16528,588,35.2,35.25,36.3,35,3.69,10.1,2.41,,,,
16,2027,大成鋼,市,11/02,,40.3,-0.8,-1.95,33329,1357,41.1,41.1,41.5,40.1,3.41,15.9,2,,,,
17,2049,上銀,市,11/02,,319.5,+4.5,+1.43,1245,398,315,319,324.5,315.5,2.86,34.3,3.7,,,,
19,2059,川湖,市,11/02,,413,-10,-2.36,251,104,423,423.5,423.5,408,3.66,29,3.3,,,,
20,2105,正新,市,11/02,,34.5,+0.05,+0.15,5043,175,34.45,34.5,35,34.3,2.03,12.3,1.35,,,,
21,2108,南帝,市,11/02,,81.6,-0.7,-0.85,1818,150,82.3,82.7,83.7,81.5,2.67,5.03,2.86,,,,
