,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
0,1597,直得,市,10/29,,86.4,-0.8,-0.92,141,12.2,87.2,87.5,87.5,86.2,1.49,27.4,3.28,,,,
1,1784,訊聯,櫃,10/29,,42.6,-0.6,-1.39,264,11.3,43.2,43.25,43.5,42.35,2.66,64.5,1.85,,,,
2,2049,上銀,市,10/29,,309.0,1.0,0.32,692,214.0,308.0,310.0,311.5,308.0,1.14,33.2,3.58,,,,
3,2388,威盛,市,10/29,,62.1,5.6,9.91,44600,2687.0,56.5,56.8,62.1,56.6,9.73,5.11,3.12,,,,
4,2395,研華,市,10/29,,363.0,-1.5,-0.41,760,275.0,364.5,364.0,366.0,358.0,2.19,38.2,8.49,,,,
5,2455,全新,市,10/29,,140.5,-3.5,-2.43,14579,2094.0,144.0,143.5,146.0,140.5,3.82,36.6,7.75,,,,
6,3005,神基,市,10/29,,52.3,-0.7,-1.32,1197,62.7,53.0,53.2,53.2,52.2,1.89,7.11,1.88,,,,
7,3011,今皓,市,10/29,,12.0,0.25,2.13,4100,48.6,11.75,11.8,12.2,11.4,6.81,,1.52,,,,
8,3022,威強電,市,10/29,,44.3,-0.2,-0.45,160,7.08,44.5,44.6,44.6,44.15,1.01,7.79,0.98,,,,
9,3450,聯鈞,市,10/29,,55.8,-0.7,-1.24,370,20.8,56.5,57.2,57.2,55.8,2.48,27.8,2.0,,,,
10,3504,揚明光,市,10/29,,131.0,1.0,0.77,18462,2466.0,130.0,132.0,138.0,129.5,6.54,,4.74,,,,
11,3570,大塚,櫃,10/29,,72.1,0.5,0.7,3,0.22,71.6,72.2,72.2,72.1,0.14,10.4,1.84,,,,
12,3663,鑫科,櫃,10/29,,42.85,-0.1,-0.23,6341,273.0,42.95,43.85,44.1,42.3,4.19,56.4,2.79,,,,
13,4722,國精化,市,10/29,,41.1,0.15,0.37,1519,62.7,40.95,41.4,41.9,40.7,2.93,10.9,1.46,,,,
14,5371,中光電,櫃,10/29,,57.4,2.3,4.17,4881,279.0,55.1,55.8,58.5,55.1,6.17,11.9,1.07,,,,
15,5450,南良,櫃,10/29,,16.25,0.0,0.0,26,0.43,16.25,16.15,16.4,16.1,1.85,20.1,1.56,,,,
16,6123,上奇,櫃,10/29,,50.1,-0.2,-0.4,42,2.11,50.3,50.3,50.3,49.9,0.8,10.3,2.98,,,,
17,8416,實威,櫃,10/29,,117.0,0.0,0.0,5,0.6,117.0,117.0,118.0,117.0,0.85,11.2,2.59,,,,
18,1813,寶利徠,櫃,10/29,,17.8,+0.15,+0.85,43,0.77,17.65,17.7,17.8,17.65,0.85,162,0.99,,,,
19,2308,台達電,市,10/29,,245,-7.5,-2.97,9956,2462,252.5,251,252,245,2.77,22.7,4.27,,,,
20,2317,鴻海,市,10/29,,107,-1.5,-1.38,20792,2229,108.5,108.5,108.5,107,1.38,11,1.14,,,,
21,2323,中環,市,10/29,,8.82,-0.11,-1.23,3876,34.4,8.93,8.96,8.96,8.82,1.57,,0.56,,,,
22,2349,錸德,市,10/29,,9.78,-0.12,-1.21,1918,18.8,9.9,9.9,9.9,9.72,1.82,,1.14,,,,
23,2353,宏碁,市,10/29,,26,-0.3,-1.14,9039,236,26.3,26.25,26.35,26,1.33,7.85,1.3,,,,
24,2357,華碩,市,10/29,,353,-1,-0.28,2455,864,354,354,356.5,350.5,1.69,6.32,1.29,,,,
25,2374,佳能,市,10/29,,19.55,+0.4,+2.09,2402,46.7,19.15,19.3,19.6,19.1,2.61,10.6,0.87,,,,
26,2377,微星,市,10/29,,140,+1,+0.72,3357,470,139,139.5,141,138,2.16,8.98,3.05,,,,
27,2401,凌陽,市,10/29,,37,+0.25,+0.68,14249,529,36.75,37.15,37.85,36.45,3.81,24.2,2.45,,,,
28,2409,友達,市,10/29,,19.2,+0.05,+0.26,252058,4852,19.15,19.2,19.6,18.85,3.92,4.28,0.87,,,,
29,2454,聯發科,市,10/29,,913,-23,-2.46,5550,5098,936,938,939,913,2.78,17.8,3.74,,,,
30,3006,晶豪科,市,10/29,,142.5,0,0,26572,3815,142.5,144,146.5,140.5,4.21,16.5,3.8,,,,
31,3014,聯陽,市,10/29,,104,0,0,2576,269,104,105,106,103.5,2.4,11.9,2.89,,,,
32,3034,聯詠,市,10/29,,415.5,+5,+1.22,5817,2424,410.5,415,422,411,2.68,11.1,5.44,,,,
33,3038,全台,市,10/29,,18.4,0,0,354,6.53,18.4,18.6,18.6,18.3,1.63,13.6,1.46,,,,
34,3050,鈺德,市,10/29,,17.1,+0.6,+3.64,5667,95,16.5,16.5,17.2,16.15,6.36,20.4,1.06,,,,
35,3051,力特,市,10/29,,9.6,+0.03,+0.31,1298,12.5,9.57,9.61,9.8,9.45,3.66,4.14,1.61,,,,
