,Unnamed: 0,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
0,0,1597,直得,市,10/12,,83.1,-0.9,-1.07,115,9.64,84.0,84.0,85.1,83.0,2.5,26.4,3.15,,,,
1,1,1784,訊聯,櫃,10/12,,42.85,-1.15,-2.61,247,10.6,44.0,43.2,43.2,42.5,1.59,64.9,1.86,,,,
2,2,2049,上銀,市,10/12,,296.5,-2.0,-0.67,1102,326.0,298.5,292.5,300.0,291.5,2.85,31.8,3.44,,,,
3,3,2388,威盛,市,10/12,,40.3,-0.15,-0.37,1874,74.9,40.45,41.2,41.2,38.05,7.79,3.31,2.02,,,,
4,4,2395,研華,市,10/12,,348.5,-2.0,-0.57,883,306.0,350.5,350.5,350.5,340.5,2.85,36.6,8.15,,,,
5,5,2455,全新,市,10/12,,122.5,-5.0,-3.92,3242,402.0,127.5,126.5,128.0,122.0,4.71,31.9,6.76,,,,
6,6,3005,神基,市,10/12,,50.5,-0.1,-0.2,644,32.5,50.6,50.5,50.6,50.1,0.99,6.86,1.82,,,,
7,7,3011,今皓,市,10/12,,10.05,0.14,1.41,875,8.78,9.91,10.0,10.3,9.91,3.94,,1.28,,,,
8,8,3022,威強電,市,10/12,,44.0,-0.6,-1.35,188,8.27,44.6,44.7,44.7,43.6,2.47,7.73,0.97,,,,
9,9,3450,聯鈞,市,10/12,,52.8,-0.3,-0.56,184,9.72,53.1,53.0,53.2,52.6,1.13,26.3,1.89,,,,
10,10,3504,揚明光,市,10/12,,110.5,1.5,1.38,16083,1861.0,109.0,112.0,119.5,110.5,8.26,,4.03,,,,
11,11,3570,大塚,櫃,10/12,,70.8,-0.8,-1.12,10,0.72,71.6,71.4,72.5,70.8,2.37,10.2,1.8,,,,
12,12,3663,鑫科,櫃,10/12,,41.8,-0.7,-1.65,1807,76.4,42.5,41.75,43.45,41.6,4.35,55.0,2.72,,,,
13,13,4722,國精化,市,10/12,,37.8,-1.25,-3.2,834,31.7,39.05,39.05,39.05,37.5,3.97,10.0,1.34,,,,
14,14,5371,中光電,櫃,10/12,,54.4,0.2,0.37,212,11.5,54.2,54.2,54.6,53.8,1.48,11.3,1.07,,,,
